Time,Temperature,Humidity
11:57:16,30.1,82.2
11:57:40,30.1,82.1
11:58:04,30.1,81.8
11:58:28,30.1,81.8
11:58:52,30.1,82.0
11:59:16,30.0,81.7
11:59:40,30.0,80.6
12:00:04,30.0,80.2
12:00:28,30.0,80.4
12:00:52,29.9,80.5
12:01:16,30.0,80.5
12:01:40,30.0,80.9
12:02:04,30.0,81.1
12:02:28,29.9,81.3
12:02:52,29.9,80.6
12:03:16,29.9,80.4
12:03:40,29.9,81.1
12:04:04,29.9,80.8
12:04:28,29.9,80.5
12:04:52,29.9,80.0
12:05:16,29.9,80.6
12:05:40,29.9,81.2
12:06:04,29.9,81.3
12:06:28,29.9,81.1
12:06:52,29.9,80.6
12:07:16,29.8,80.3
12:07:40,29.8,79.9
12:08:04,29.8,79.8
12:08:28,29.9,80.0
12:08:52,29.8,80.9
12:09:16,29.8,80.5
12:09:40,29.8,80.5
12:10:04,29.8,81.0
12:10:28,29.8,81.0
12:10:52,29.8,81.1
12:11:16,29.8,80.8
12:11:40,29.8,80.5
12:12:04,29.8,80.1
12:12:28,29.8,79.7
12:12:52,29.8,79.6
12:13:16,29.8,80.1
12:13:40,29.8,79.8
12:14:04,29.8,79.6
12:14:28,29.8,79.6
12:14:52,29.8,79.7
12:15:16,29.8,80.0
12:15:40,29.8,80.1
12:16:04,29.8,80.0
12:16:28,29.8,80.2
12:16:52,29.8,80.3
12:17:16,29.8,80.0
12:17:40,29.8,80.1
12:18:04,29.8,80.1
12:18:28,29.8,80.3
12:18:52,29.8,80.6
12:19:16,29.8,80.6
12:19:40,29.8,80.7
12:20:04,29.8,80.5
12:20:28,29.8,80.4
12:20:52,29.8,80.5
12:21:16,29.8,80.3
12:21:40,29.8,80.2
12:22:04,29.8,80.1
12:22:28,29.8,80.2
12:22:52,29.8,80.2
12:23:16,29.8,80.4
12:23:40,29.8,80.5
12:24:04,29.8,80.6
12:24:28,29.8,80.8
12:24:52,29.8,80.4
12:25:16,29.8,80.5
12:25:40,29.8,80.6
12:26:04,29.8,80.3
12:26:28,29.8,80.2
12:26:52,29.8,80.8
12:27:16,29.8,80.5
12:27:40,29.8,80.4
12:28:04,29.8,80.6
12:28:28,29.8,80.5
12:28:52,29.8,80.0
12:29:16,29.8,79.8
12:29:40,29.8,79.4
12:30:04,29.8,79.2
12:30:28,29.7,79.0
12:30:52,29.8,79.8
12:31:16,29.8,79.9
12:31:40,29.8,79.9
12:32:04,29.8,79.9
12:32:28,29.8,80.2
12:32:52,29.8,80.6
12:33:16,29.8,80.4
12:33:40,29.8,80.4
12:34:04,29.7,80.7
12:34:28,29.7,80.6
12:34:52,29.7,81.1
12:35:16,29.7,80.6
12:35:40,29.8,80.4
12:36:04,29.7,80.4
12:36:28,29.8,80.5
12:36:52,29.8,80.8
12:37:16,29.7,81.4
12:37:40,29.8,81.4
12:38:04,29.8,81.0
12:38:28,29.7,80.7
12:38:52,29.7,80.8
12:39:16,29.7,80.9
12:39:40,29.7,81.0
12:40:04,29.7,80.8
12:40:28,29.7,80.6
12:40:52,29.7,80.6
12:41:16,29.7,80.7
12:41:40,29.7,80.6
12:42:04,29.7,81.5
12:42:28,29.7,81.9
